国情	办法使农民把土产推销出去。去年在经济战线上，我们是税收、公债、货币回笼、收购四路“进兵”，一下子把通货膨胀制止了。三月物价稳定，五月中旬全国各地工商业者都叫喊货卖不出去。于是我们发了两路“救兵”，一为加工订货，一为收购土产。起决定作用的是收购土产，因为收购土产，就发出了钞票，农民有了钱就可以买东西。到九月全国情况就改观了，霓虹灯都亮了。过去帝国主义为了收购土产，倾销洋货，在青岛、大连、上海、广州等地建设码头，建发电厂，修仓库，筑铁路，办银行。经过这些城市，利用商业资本，收购土产，推销洋货，这叫“中外交流”。这种交流，反映了中国是一个被剥削的农业国。经过十二年的战争〔２７〕，中国政治情况起了根本变化，原来的城乡交流关系基本上打乱了。如果不估计到这种情况，单去搞收支平衡，那么老百姓虽然也喊“万岁”，但因与他<br>— 陈云 · 《陈云文选·第二卷》 · p137	陈云 陈云文选第二卷 概念
专制	换言之，“君主专制制度，从一<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p74	周雪光 中国国家治理的制度逻 概念
政治教化	简言之，政治教化不再如<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p84	周雪光 中国国家治理的制度逻 概念
剩余索取权	产权不是指收入或其他资产的剩余索取权，而是<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p103	周雪光 中国国家治理的制度逻 概念
党政双重权威	简言之，党政双重权威在各类组织中共生并存的结构可以说是<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p158	周雪光 中国国家治理的制度逻 概念
资源密集型项目	所谓资源密集型项目是指那些投入<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p293	周雪光 中国国家治理的制度逻 概念
国政治分成“三层”	国政治分成“三层”，即中央政府、地方政府和民众，以区别于时下<br>— 周黎安 · 《转型中的地方政府》 · p37	周黎安 转型中的地方政府 概念
范的分析	范的分析，即回答“应该怎样”的问题。<br>— 周黎安 · 《转型中的地方政府》 · p38	周黎安 转型中的地方政府 概念
35岁现象	也出现了所谓的“35岁现象”，即贪腐行为逐渐年轻化。<br>— 周黎安 · 《转型中的地方政府》 · p43	周黎安 转型中的地方政府 概念
神仙下	重新被私人部门聘用，“发挥余热”，这在日本被称为“神仙下<br>— 周黎安 · 《转型中的地方政府》 · p43	周黎安 转型中的地方政府 概念
式官僚制过渡	式官僚制过渡，即越来越强调规则、程序和可问责性，传统行政治理<br>— 周黎安 · 《转型中的地方政府》 · p53	周黎安 转型中的地方政府 概念
“职责同构”现象	“职责同构”现象，即在政府间关系中，从中央到地方各级政府，不<br>— 周黎安 · 《转型中的地方政府》 · p58	周黎安 转型中的地方政府 概念
制”	制”，即企业主提供生产性资产，雇佣工人，进行生产；<br>— 周黎安 · 《转型中的地方政府》 · p60	周黎安 转型中的地方政府 概念
第四个特征	第四个特征是指官员自己不提供行政所需的设备和费用，科层组织集<br>— 周黎安 · 《转型中的地方政府》 · p64	周黎安 转型中的地方政府 概念
要特征	要特征，即使今天也是如此。<br>— 周黎安 · 《转型中的地方政府》 · p67	周黎安 转型中的地方政府 概念
独立执行机构	独立执行机构，即编制、人事和财务完全与地方独立的机构，这使得<br>— 周黎安 · 《转型中的地方政府》 · p76	周黎安 转型中的地方政府 概念
企业对国家的经济责任	企业对国家的经济责任，即上缴利税的责任。<br>— 周黎安 · 《转型中的地方政府》 · p80	周黎安 转型中的地方政府 概念
行联产责任承包制	行联产责任承包制，即所谓的“包产到户”。<br>— 周黎安 · 《转型中的地方政府》 · p80	周黎安 转型中的地方政府 概念
管理方	即使到了今天，预算包干制仍然是一种普遍的行政体制的预算管理方<br>— 周黎安 · 《转型中的地方政府》 · p81	周黎安 转型中的地方政府 概念
